	test
5414	[]
5415	['торговля', 'это', 'унижение', 'вот', 'сидеть', 'подачка', 'это', 'унижение', '🤣', '🤣', '🤣', '✌', '️', '🐷', '🐷']
5416	['вопрос', 'отвечать', 'вброс', 'кидать']
5417	['повод', 'этот', 'самолёт', 'первый', 'новый', 'самолёт', 'тот', 'планироваться', 'поставить', 'год', 'план', 'минпромторг', 'производить', 'такой', 'лайнер', 'год', 'официально', 'серийный', 'производство', 'самолёт', 'начаться', 'лишь', 'год', 'хотя', 'октябрь', 'год', 'лётный', 'испытание', 'поступить', 'первый', 'мс', 'российский', 'двигатель', 'пд', 'с', 'ил', 'примерно', 'такой', 'песня', 'тот', 'а', 'самый', 'интересный', 'в', 'год', 'россия', 'построить', 'авиалайнер', 'к', 'начало', 'год', 'общий', 'объём', 'выпуск', 'россия', 'составить', 'штука', 'рагуля', 'рассказать', 'сколько', 'самолёт', 'выпустить', 'украина', 'год']
5418	['терпеть', 'рипер', 'идентифицировать', 'ракушка', 'дать', 'соврать', 'что', 'комплекс', 'видеть', 'ресурсообеспечить', 'оаэ', 'саудовский', 'аравия', 'кувейт', 'катар', 'алжир', 'ирак', 'то', 'продавать', 'нефть', 'газ', 'не', 'доллар', 'евро', 'не', 'сша', 'ес', 'плохой', 'твой', 'экономика', 'не', 'произойти', 'только', 'цена', 'мировой', 'рынок', 'повыситься', 'не', 'это', 'конечный', 'цель', 'путин', 'вначале', 'показать', 'внутри', 'страна', 'жить', 'доллар', 'теперь', 'доказывать', 'это', 'остальной', 'мир', 'и', 'получаться', 'задача', 'другой', 'день', 'грузия', 'айса']
5419	['видимо', 'знать', 'такой', 'сотрудничество', 'либо', 'привыкнуть', 'твой', 'страна', 'унижаться', 'весь', 'мир']
5420	['просто', 'год', 'второй', 'стул', 'успеть', 'достроить', 'мрио', 'стул', 'наверное', 'наследство', 'ссср', 'достаться', 'мрио', 'второй', 'стул', 'готовый']
5421	[]
5422	['это', 'твой', 'хозяин', '💩', '🐷', '🇺🇦', '🖕', '🖕', '🖕', 'в', 'бан']
5423	[]
5424	['🤣', '🤣', 'пусть', 'далёкий', 'санкция', 'вводить', 'против', 'россия', 'потерять', 'огромный', 'рынок', 'сбыт', 'территория', 'россия', 'многий', 'статья', 'вот', 'результат', 'рекордный', 'дефицит', 'торговый', 'баланс']
5425	['дефицит', 'торговый', 'баланс', 'банковский', 'система', 'просесть', 'два', 'треть', 'триллион', 'сша', 'ввести', 'санкция', 'против', 'россия', 'ну', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣']
5426	['курс', 'следить', 'биржевой', 'котировка', 'там', 'начало', 'рецессия', 'кризис']
5427	['теперь', 'объяснить', 'простой', 'человек', 'мы', 'мрот', 'поднять', 'жкх']
5428	['жкх', 'тариф', 'налог', 'возможно', 'пенсионный', 'возраст']
5429	['свыня', 'бот', 'курс', 'мрот', 'поднять', 'пенсия', 'индексировать', 'второй', 'год', 'а', 'усраина', 'мрот', 'пенсия', 'сколько', 'увеличить', '🤣', '🤣', '🤣']
5430	['мой', 'любовница', 'грудь', 'подняться', '😀']
5431	['идти', 'выветриться', 'отпустить', 'новость', 'смотреть']
5432	['ты', 'мрот']
5433	['русски', 'правильно', 'писаться', 'проветриться', 'муйдаун', '😉']
5434	['мрот', 'работать', 'на', 'нормальный', 'зарплата', 'ум', 'хватать', '😁']
5435	['мда', 'любой', 'капитализм', 'рано', 'поздно', 'приводить', 'такой', 'последтсвия', 'приходиться', 'использовать', 'военный', 'сила', 'решить', 'свой', 'проблема', 'бизнес', 'имнный', 'это', 'делать', 'сша', 'весь', 'мир']
5436	['да', 'пртить', 'гегемон', 'который', 'суметь', 'обрасти', 'сила']
5437	['и', 'ес', 'никакой', 'собственный', 'мнение', 'просто', 'вассал']
5438	['сша', 'обречь', 'провал', 'скоро', 'этот', 'страна', 'стать', 'изгой', 'весь', 'мир']
5439	['скоро', 'сдуться']
5440	['че', 'россия', 'сделать', 'жест', 'добрый', 'воля', 'уйти', 'крым', 'донбасс', 'херсон']
5441	['усраина', 'уйти', 'харьков', 'днепропетровск', 'николаев', 'одесса', 'как', 'мариуполь', 'лисичанск', 'бердянск', 'мелитополь']
5442	['усраина', 'это', 'новороссия', 'а', 'право']
5443	['россия', 'территория', 'свой', 'разбрасываться', 'собирать', 'завещать', 'ванг']
5444	['гора', 'какой', '😁', '😁', '😁']
5445	['прикинуть', 'поднять', 'мрот', '😁', 'просто', 'нужно', 'интересоваться', 'собственный', 'страна', 'происходить', 'жёлчь', 'истекать', '😉']
5446	['да']
5447	['конёк', 'отбросить']
5448	['злой', 'сходить', 'накатить', 'вон', 'день', 'солнечный']
5449	['питер', 'жить', 'хороший', 'погода', 'бывать']
5450	['зато', 'вон', 'центр', 'отгрохать', 'приехать', 'лето', 'обязательно', 'туда', 'сходить', 'глядеть', 'тот', 'время', 'беглов', 'шить', 'трус', 'лёха', 'напара']
5451	['вхахвахвавх', 'злой', 'свино', 'сеть', 'выйти', 'что', 'жопа', 'гореть', 'на', 'фронт', 'всу', 'дело', 'поршиво', 'идти', 'слышать']
5452	['у', 'путин', 'истерика', 'начаться']
5453	['🤣', '⤵']
5454	['россия', 'стать', 'колония', 'китай', 'байден', 'шок']
5455	['ципсо', 'привет', '👋']
5456	['это', 'зеле', 'рассказать', '⤵']
5457	[]
5458	[]
5459	['именно', 'производство', 'сша', 'рф', 'находиться', 'китай']
5460	[]
5461	['картинка', 'повесить', 'свой', 'сортир', 'помочь', 'ты', 'запор']
5462	['херсонский', 'вернуть']
5463	['сменить', 'снайп', 'нож']
5464	['скинуть', 'дроп']
5465	['а', 'её', 'домой', 'утащить', '🙄', '🤔']
5466	['дропнуть', 'авик', 'сильвер']
5467	['а', 'винтовка', 'телефон', 'р', 'очень', 'радоваться', '🙂']
5468	['совсем', 'заметно']
5469	['лох', '🤣']
5470	['отнестись', 'понимание', 'это', 'отрицаетельный', 'рывок']
5471	['это', 'крепный', 'российский', 'ремонт', 'сдать', 'развалиться', 'выделить', 'деньга', 'разворовать']
5472	['омериканци', 'наш', 'технология', 'завидовать']
5473	['забыть', 'майонез', 'кетчуп', 'положить', '🙃', 'делать']
5474	['белоруссия', 'б', 'бутереть', 'год', 'загреметь']
5475	['хороший', 'комментарий', '🙂']
5476	['так', 'вода', 'сушить', 'каткий', 'греть', 'окончательно', 'ламинировать']
5477	['русофобия', 'это', 'знать', 'жить', 'твой', 'народ', 'не', 'ходить', 'один', 'улица', 'ездить', 'один', 'транспорт', 'есть', 'другой', 'пища', 'когда', 'мчаться', 'кортеж', 'пустой', 'дорога', 'человек', 'часами', 'стоять', 'пробка', 'когда', 'твой', 'приезд', 'провинция', 'класть', 'однодневный', 'асфальт', 'весёленький', 'раскрашивать', 'убогий', 'хибара']
5478	['русофобия', 'предвзятый', 'подозрительный', 'неприязненный', 'враждебный', 'отношение', 'русский', 'народ', 'россия', 'русский', 'язык', 'специфический', 'направление', 'этнофобия', 'узкий', 'смысл', 'страх', 'россия', 'курс', 'российский', 'внешний', 'политика', 'по', 'мнение', 'некоторый', 'специалист', 'русофобия', 'антисемитизм', 'отличие', 'большинство', 'другой', 'национальный', 'фобия', 'часто', 'выступать', 'цельный', 'идеология', 'особый', 'комплекс', 'идея', 'концепция', 'иметь', 'структура', 'система', 'понятие', 'история', 'генезис', 'развитие', 'также', 'свой', 'типичный', 'проявление', 'бб']
5479	['спасибо', 'большой', 'труд', 'не', 'я', 'провалиться', 'яма', 'пострадать', 'машина', 'спасибо']
5480	['спасибо', 'большой', 'труд', 'не', 'я', 'провалиться', 'яма', 'пострадать', 'машина', 'спасибо']
5481	['просто', 'ныть', 'лужа', 'грязь', 'снег', 'лёд', 'поэтому', 'лужа', 'убирать', '😆']
5482	['не', 'делать', 'ждать', 'пока', 'просохнуть', 'быть', 'бубнить', 'ям', 'заделать', 'делать', 'быть', 'бубнить', 'фен', 'шуя']
5483	['в', 'пидарашка', 'меняться']
5484	[]
5485	['с', 'такой', 'простой', 'сказать', 'первый', 'свидание', 'влюбиться', 'готовый', 'жениться', 'ребёнок', 'усыновить', 'сделать', 'дело', 'уйти']
5486	['страданула', '🤣']
5487	['как', 'говориться', 'терпила', 'жизнь']
5488	['кстати', 'второй', 'фотка', 'убрать', 'узбечонок', 'ничего', 'такой']
5489	['жиза', 'брат', 'жиза']
5490	['пздца', 'на', 'дешёвый', 'китайский', 'копия', 'ленин', 'похожий', 'дрыщ', 'ещё', 'мачо', 'строить', 'да', 'внешне', 'миллиард', 'проигрывать', 'и', 'любой', 'девушка', 'только', 'убогий', 'согласиться', 'замутить', 'весь', 'такой', 'уверенность', 'страшила']
5491	['что', 'страдать', 'говорить', 'процесс', 'приятный', 'больно', 'первый', 'это', 'случай', 'уверенный', '😆', '😆', '😆']
5492	['оскорблять', 'он', 'верно', 'сказать', 'и', 'такой', 'положение', 'девушка', 'особо', 'смотреть', 'внешность']
5493	['первый', 'фото', 'очень', 'получаться', 'обгореть', 'юг', 'казахстан', 'дрище', 'спороть', 'ильич', 'никто', 'сравнивать', '🤣', 'уверенность', 'делать', 'пройденно', 'у', 'вообще', 'профиль', 'закрытый', 'твой', 'фотка', 'глянуть', 'наверняка', 'обижёнка', 'какай', 'фёмкий', 'кг', '🤣']
5494	['украинка', 'почему', 'первый', 'должный', 'больно']
5495	['опыт', 'посмотреть', 'любить', 'бу', 'чернильница', 'свой', 'хоботок', 'макать']
5496	['пусть', 'турция', 'нигерия', 'поискать', 'собрать', 'полный', 'комбо', 'чернильница']
5497	['турок', 'чёрный']
5498	['наташа']
5499	['ты', 'видимо', 'опытный', 'вопрос', '🤣']
5500	['какой']
5501	['копчёный']
5502	['вялить']
5503	['ага', 'зелёный']
5504	['суть', 'такой']
5505	['черно', 'белые', '🌝']
5506	['украинка', 'там', 'это', 'норма']
5507	['налетать', 'пацан', '😂']
5508	['дать', 'узбек', 'насколько', 'уважать']
5509	['родить']
5510	['думать', 'это', 'твой', 'сестра']
5511	['задеть', 'кумысик', '😋']
5512	['так', 'же', 'задеть', 'кайф', 'хахах']
5513	['украинец', 'честь', 'пффф']
5514	['заметить', 'твой', 'высера', 'каждый', 'комментарий', '😁', 'именно', 'бомбить', 'мочь', 'объяснить']
5515	['смотреть', 'бомбонуть', 'вася']
5516	['какой', 'вася']
5517	['васян']
5518	['🤣', '🤣', '🤣', '🤣', '🤣', '👍', '👍', '👍', '👍', '👍', '👍', '👍', '🤣', '🤣', '🤣', '🤣', '🤣']
5519	['хахахахи']
5520	['наковать', 'нужный', 'содержанка']
5521	['хахах', 'соглый', 'ещо', 'чурка', 'приехать']
5522	['большой', 'узбек', 'снашаться']
5523	['👏', '😆']
5524	['мерзость']
5525	['ми', 'родный', 'сестра', 'сватать']
5526	['мама']
5527	['сколько', 'ещё', 'такой', 'дурёха', 'россия', 'где', 'мозг', 'свой', 'просирать', '🤦']
5528	['це', 'хохлыня']
5529	['свинница']
5530	['так', 'такой', 'дофига', 'тележка']
5531	['брать', 'пример']
5532	['что', 'хохлыня', 'реально', 'полно', 'чернильница']
5533	['прокатиться', 'я', 'декс', 'такси']
5534	['украина', 'яндекс', 'такси']
5535	['причём', 'украина']
5536	['украинка']
5537	['це', 'дивчина', 'украинка', 'свинница', 'маленький', 'узбек', 'дениска', 'назвать', 'наверное', 'причём']
5538	['миска', 'рис', 'шить', 'одежда', 'бизнес', 'это', 'просто', 'если', 'сказать', 'простынка', 'в', 'азия', 'немного', 'толстый']
5539	['а', 'корейский', 'телефон', 'год', 'отлично', 'работать', '🙄']
5540	['покакать', 'утром']
5541	['че', 'бабский', 'телефон', 'гонять', 'чтоль', '😂']
5542	['продаваться', 'скидка', 'купить', '🙂']
5543	['женский']
5544	['написать']
5545	[]
5546	['немой', 'написать', 'это', 'женский', 'линейка']
5547	['пофига', 'скидка']
5548	['магазин', 'нижний', 'бельё', 'одежда', 'вымя']
5549	['блин']
5550	['тем', 'время', 'местный', 'фёмкий', 'бодипозитивщица', 'алин', 'очко', 'ъ', 'класс', 'который', 'посмотреть', 'данный', 'видео']
5551	['факт']
5552	['😂']
5553	['фитоняшка']
5554	['обожать', 'именно', 'черта', 'азиатский', 'страна', 'пока', 'весь', 'мир', 'кучка', 'шизик', 'бегать', 'крик', 'объективизация', 'женский', 'образ', 'фильм', 'игра', 'делать', 'именно', 'нравиться', 'человек', 'если', 'файтинг', 'обязательно', 'куча', 'максимально', 'обнажённый', 'женский', 'натура', 'и', 'жирный', 'жирный']
5555	['мужчина', 'сказать', 'также']
5556	['именно']
5557	['бузов', 'идти', 'комплект']
5558	['хаахахи']
5559	['че', 'уродство']
5560	['дева', 'мария', 'я', 'клясться', 'хотеть', 'измениться']
5561	['наконец', 'обновить', 'спустя', 'летета', '🗿']
5562	['наконец', 'тестер', 'поиграть', 'стендофф']
5563	['тот', 'повеселиться', 'лишь', 'играть', 'это', 'дерьмо']
5564	[]
5565	['короче', 'наш', 'комп', 'чайник', 'вскипятить', 'всё', 'равно', 'её', 'потянуть']
5566	['кс', 'картошка', 'идти']
5567	['кулер', 'корсар']
5568	['заварить', 'ка', 'чаёк']
5569	['давать', 'насладиться', 'новый', 'графика', 'игра', 'видос', 'р']
5570	['молик', 'кидаться', 'скайбокс']
5571	['шорт', 'бокс', 'даста']
5572	['бокс', 'машина']
5573	['помойка']
5574	['для', 'админ', 'такой', 'дурачок', 'тренировочный', 'режим', 'показывать', 'прилететь', 'гранат']
5575	['–', 'раскидывать', 'гранат', 'простой', 'свой', 'сервер', 'добавить', 'предпросмотр', 'траектория', 'падение', 'гранат', 'читать', 'научиться', 'клоун']
5576	['слыш', 'клоун', 'прежде', 'сказать', 'убедиться', 'право', 'если', 'видеть', 'написать', 'лезть', 'сюда']
5577	['понятно', 'дермо', 'короче']
5578	['только']
5579	['как', 'кс', 'говно', 'остаться']
5580	['ещё', 'плохой', 'стать']
5581	['почему', 'вы', 'решить']
5582	['видеть']
5583	['говориться', 'стопервый', 'получиться']
5584	['несколько', 'год', 'такой', 'увидеть', 'общий', 'история']
5585	['свой', 'ладный']
5586	['как', 'обычно', 'ноунейм', 'игрок', 'происходить']
5587	['это', 'оттого', 'ноунейм', 'узнавать', 'именно', 'это', 'момент']
5588	['именно', 'договорный', 'матч', 'согласный']
5589	['нееееееий', 'раз', 'договорняк', 'вон', 'быстро', 'второй', 'вратарь', 'идти', 'мяч', '😂', '😂', '😂', '😂', '😂', '😂', 'просто', 'мастерство', '😂', '😂']
5590	['тот', 'нормально', 'бежать']
5591	['хороший', 'кэф', 'сделать']
5592	['🥅', '⚽', '️', '🥅']
5593	['зачеееть', '👍', '🤦', '\u200d', '♂', '️', '🤣']
5594	['в', 'детство', 'гол', 'считаться', 'слишком', 'лёгкий', 'уровень']
5595	['детство', 'расстояние', 'ворота', 'маленький', 'обычно', '😂']
5596	['детство', 'ворота', 'метр', 'сила', '💀']
5597	['подвал', 'играть']
5598	['такой']
5599	['школа', 'большой', 'поле']
5600	['ворота', 'ворота', 'считаться']
5601	['кто', 'ты', 'сказать']
5602	['дворовый', 'детство']
5603	['ворота', 'биться', 'свободный', 'удар', 'свободный', 'удар', 'такой', 'розыгрыш', 'прямой', 'удар', 'забивать', 'только', 'плохо', 'видно', 'коснуться', 'кипер', 'мяч', 'гол', 'чистый', 'мяч', 'сквозняк', 'пролететь', 'удар', 'гол', 'засчитывать']
5604	['гол', 'равно', 'зачёт', 'идти', 'даже', 'вратарь', 'кинуть', 'рука', 'свой', 'ворота', 'докинуть', 'или', 'аут', 'кинуть', 'рука', 'ворота', 'попасть', 'это', 'гол']
5605	['аут', 'прямой', 'бросок', 'гол', 'зацепить', 'кто', 'мяч', 'гол', 'такой', 'акт', 'офсайд']
5606	['всмысл', 'гол', 'гол', '😁', 'как', 'ворота', 'ворота']
5607	['ещё', 'вариант', 'штафной', 'удар', 'бить', 'условно', 'блокировка', 'вратарь', 'полевой', 'игрок', 'сфолила', 'тот', 'точка', 'прямой']
5608	[]
5609	['даже', 'просто', 'ворота', 'он', 'вводить', 'мяч', 'игра', 'мяч', 'игра', 'удар']
5610	['сначала', 'правило', 'почитай', 'говорить', 'ссылка', 'скинуть', 'разберешьмить']
5611	['причём', 'твой', 'понос']
5612	['первый', 'место', 'сша', 'и', 'проиграть', 'запад', 'эх']
5613	['вратарь', 'пропустить', 'мяч']
5614	['вратарь', 'забить', 'гол']
5615	['народ', 'никто', 'знать', 'марий', 'эл', 'это', 'де', 'накормить', 'тонна', 'пряник', 'медведь']
5616	['загуголь', 'собака', 'тупой', 'как', 'дожить', 'свой', 'возраст']
5617	['гооооооооооооооолллллла']
5618	['не', 'хотеть']
5619	['куда', 'нелепый', 'бабка', 'очки', 'дели']
5620	['такой', 'давно', 'помощь', 'нейросеть', 'сделать']
5621	['суть', 'это', 'заниматься', 'этот', 'группа', 'и', 'тысяча', 'щакинуть', 'ннйросетнть', 'фильтр', 'использовать']
5622	['казаться', 'использовать', 'какой', 'старый', 'нейросеть', 'новый', 'тип', 'нуль', 'нарисовать', 'делать', 'это', 'быстро', 'красиво', 'вот', 'пример', 'нарисовать']
5623	['разный', 'эффект', 'действительно', 'наложение', 'одежда', 'заменить', 'делать', 'это', 'круто', 'равно', 'сходиться', 'ааа', 'просто', 'фотошоп', 'накидать', 'всякий', 'говно', 'продавать']
5624	['это', 'пол', 'дать']
5625	['показать']
5626	['сейчас', 'пара', 'минута', 'нейросеть', 'сам', 'распечатать', 'вставить', 'красивый', 'рамочка', 'так', 'бизнес', 'обломаться']
5627	['никуа', 'султанша', 'великий', 'султан', 'портрет', 'настоящий', 'художник', 'портретист', 'стать', 'лола']
5628	['куколда']
5629	['ну', 'апрель']
5630	['какой', 'говнищий', 'кончить', 'вернуть', 'очкастый', 'бабка', 'корона']
5631	['да', 'правильно', 'нах', 'нужный', 'бородатый', 'жена']
5632	['че', 'пи', 'деть', 'видно', 'это', 'мужик']
5633	['ссылка']
5634	['поменять', 'пол']
5635	['ручища', 'позавидовать', 'некоторый', 'мужик', '😅']
5636	['правильно', 'сделать', 'нах', 'нужный', 'бородатый', 'баба']
5637	['набухнуть', 'яйцо']
5638	['мужик', 'рука', 'мужской', 'грудь', 'это', 'хитрый', 'индус', 'грохнуть', 'жена', 'притвориться', 'она']
5639	['хороший', 'сюжет', 'болливуд']
5640	['знойный', 'женщина', 'мечта', 'поэт']
5641	['красотка']
5642	['🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', 'жесть']
5643	['очетать', 'саурон']
5644	['человек', 'простой', 'мы', 'показать', 'сразу', 'достать']
5645	[]
5646	['женщина', 'чалма', 'носить']
5647	['да', 'шок', 'впасть']
5648	['поставка', 'новый', 'вооружение', 'ната', 'тот', 'кто', 'бабло', 'новый', 'железо']
5649	['парень', 'расстрелять', 'месячный', 'бюджет', 'уганда']
5650	['весь', 'бюджет', 'уганда']
5651	['весь', 'бюджет', 'западный', 'страна', '🤣', '🤣', '🤣', '🤣', '🤣']
5652	['коммент', 'супер', 'душа', 'поржать', '🤣']
5653	['каков', 'бюджет', 'маленький', 'бюджет', 'сызрань', 'видимо', 'цифра', 'оперировать', 'вместо', 'инфантильный', 'смайл']
5654	['рф']
5655	[]
5656	['ясно']
5657	['🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣']
5658	['но', 'твой', 'тиммейт', 'смочь', '👌']
5659	['крутой']
5660	['легндарный', 'финка', 'нквд', 'образец', 'год', 'с', 'гарантия', 'до', 'распаковка', 'и', 'доставка', 'от', 'х', 'месяц', 'написать', 'мастер', 'через', 'админ', 'у', 'они', 'один', 'отец']
5661	['ого', 'это', 'легендарный', 'финка', 'лгбт', 'она', 'бумага', 'резать']
5662	['ну', 'понять']
5663	['хуинк']
5664	[]
5665	['что', 'тупой', 'кухонный', 'нож', 'справляться', 'помидор']
5666	['от', 'кизлярский', 'мастер']
5667	['против', 'бензопила', 'норма', 'держать', 'блок', '😆']
5668	['китайский']
5669	['легендарный', 'финка', 'нквд']
5670	['топор', 'бабуля', 'админит', 'а', 'думать', 'почему', 'контент', 'паблик', 'измениться']
5671	['мусор', 'кто', 'нужный', 'шлак']
5672	['как', 'внучка', 'заказать', 'пара', 'час']
5673	['уже', 'подташнивать', 'подушка', '🤢']
5674	['скупить', 'ваш', 'техника', 'адрес', 'хорошевский', 'шоссе', 'комиссионный', 'магазин', '«победа»']
5675	['конечно', 'один', 'нормальный', 'женщина', 'захотеть', 'рожать', 'страна', 'вести', 'война']
5676	['выплата', 'маткапитал', 'вопрос']
5677	['не', 'учить', 'пидерастик', 'топор', 'плохой', 'вещь', 'ссылка', 'сломать', 'видео']
5678	['наконец', 'женщина', 'тупой', 'самка', 'тот', 'который', 'здравый', 'оценивать', 'ситуация', 'сколько', 'мочь', 'вырастить', 'пойти', 'брак', 'мужчина', 'финансы']
5679	['тупой', 'самка', 'маленький', 'население']
5680	['нравиться', 'бездумно', 'плодиться', 'который', 'каждый', 'угол', 'орать', 'всё', 'должный', 'государство', 'бывший', 'муж', 'когда', 'ложиться', 'постель', 'предохраняться', 'помощь', 'вроде', 'просить']
5681	['дело', 'говорить', 'юнный', 'друг']
5682	['а', 'это', 'продолжать', 'вымирать', 'естественный', 'отбор', 'называться', 'скоро', 'ваш', 'место', 'специалист', 'аул', 'занять', 'а', 'старость', 'быть', 'шариат', 'жить']
5683	['а', 'воевать', 'человек', 'побежать', 'рожать', 'побежать']
5684	['главное', 'корея', 'вообще', 'хотеть', 'ребёнок', 'хотя', 'один']
5685	['иметь', 'ребёнок', 'просто', 'воспитывать', 'будить']
5686	['ну', 'ушлепанс', 'спать']
5687	['такой', 'бот', 'спровоцировать']
5688	['говорить']
5689	['сработать', 'ботярый', 'напасть']
5690	['ты', 'быковать', 'маленький']
5691	['вообще', 'нахер', 'ребёнок', 'провести', 'свой', 'свободный', 'время', 'поверь', 'намного']
5692	['приор', 'забыть', 'дорисовать', '🤣']
5693	['скоро', 'нейросеть', 'заменить', 'ведущий', 'телевидение', '✨']
5694	['соловьёв', 'скабеева', 'согласный', '🙂']
5695	['одинадцать', 'год', 'смотреть', 'телевизор', 'и']
5696	['тоже', 'смотреть', 'и', 'слава', 'бог', '✨']
5697	['последний', 'помнить', 'это', 'сериал', 'мент', 'вор', 'закон', 'бандит', 'ток', 'шоу', 'всё']
5698	['ты', 'смотреть', 'начаться', 'дом']
5699	['странно', 'бабуля', 'любить', 'слушать', 'дом', 'слепой', 'царствие', 'небесный']
5700	['слушать', 'это', 'другой']
5701	['попробовать', 'послушать', 'любой', 'видео', 'радио', 'почувствовать', 'полноценный']
5702	['😃']
5703	['обычно', 'смотреть', 'ролик', 'звук', 'тож', 'интересно', 'человек', 'эмоция', 'выражать', 'кстати', 'новый', 'это', 'псевдоним', 'я', 'мужчина']
5704	['создать', 'нейросетевой', 'грузчик', 'сантехника', 'а', 'дура', 'нарисовать', 'толк', 'ноль', 'нарисовать', 'дура']
5705	['хотеть', 'мусорк', 'жить', 'безработный']
5706	['это', 'будущий', 'жена', '🙂']
5707	['ты', 'променять', 'миска', 'рис', 'кошка', 'девочка', 'её']
5708	['понимать', '🤔']
5709	['видимо', 'ещё', 'дорасти', 'мем', 'переживать', 'всё', 'впереди']
5710	['они', 'скрывать', 'учитель', 'медик', 'консультант', 'собираються', 'заменить']
5711	['как', 'актуальный', 'новость']
5712	['кто', 'объяснить', 'неиросеть', 'деревня', 'просто']
5713	['матрица']
5714	[]
5715	['это', 'робот', 'который', 'думать', 'человек', 'учить', 'что', 'новый', 'если', 'попросить', 'сделать', 'ты', 'выполнить', 'твой', 'команда', 'попросить', 'например', 'нарисовать', 'картина']
5716	['погуголь', 'миджорень']
5717	['неправильно']
5718	['иновауионный']
5719	['человек', '🤣', '🤣', '🤣']
5720	['атомик', 'харт', 'начало']
5721	['должный', 'левый', 'правый', '😁']
5722	['это', 'вообще', 'элеонора', 'она', 'ия', '🤣']
5723	['элеанора', 'человек', 'вообще', 'переживать', 'мороз', 'советовать', 'снять', 'перчатка', '🤣']
5724	['сейчас', 'резонанс', 'мент', 'сесть', 'инф']
5725	['добавить']
5726	[]
5727	['спасибо', 'математик', 'справиться']
5728	['каждый', 'жопа', 'затычка', 'поговорить', 'кто']
5729	['просто', 'поблагодарить', 'твой', 'неоценимый', 'работа']
5730	[]
5731	['почему', 'мать', 'её', 'посадить', 'малолетка', 'изнасиловать', 'вполне', 'довольный', 'а', 'малолетка', 'приют']
5732	['баба', 'трахнуть', 'чело']
5733	['такой', 'закон']
5734	['с', 'никто', 'разговаривать']
5735	['потерянный', 'поколение', '🤦']
5736	['именно', 'поколение']
5737	['чел', 'увидеть', 'молодёжь', 'который', 'вести', 'ужасный', 'жизнь', 'знать', 'жить', 'другой', 'блееейный', 'пук', 'сренька', 'поколемний', 'потерять', 'наш', 'поколение', 'который', 'наркота', 'обдалбывадосить', 'любой', 'убийство', 'считать', 'норма', 'это', 'другой']
5738	['пошлушать', 'друг', 'это', 'мой', 'личный', 'мнение', 'придерживаться', 'застовлять', 'а', 'наш', 'поколение', 'знать', 'воспитывать', 'старший', 'уважать', 'беременная', 'место', 'уступать', 'тд', 'да', 'такой', 'описать', 'такой', 'количество', 'мой', 'знакомый', 'год', 'знать', 'прятки', 'играть', 'латка', 'пруд', 'ходить', 'сизона', 'горка', 'кататься', 'дак', 'домой', 'поесть', 'загнать', 'а', 'наоборот', 'выгнать', 'дом', 'телефон', 'плоншет', 'компьютер', 'доступный', 'видосик', 'разный', 'характер', 'удача']
5739	['мнение', 'строиться', 'отдельный', 'личность', 'который', 'интернет', 'пукать', 'ты', 'видеть', 'видео', 'млн', 'ребёнок', 'россия', 'ты', 'видеть', 'новость', 'откуда', 'знать', 'какой', 'поколение', 'видеть', 'наркош', 'новость', 'млн', 'ребёнок', 'страна']
5740	['поверь', 'каждый', 'день', 'видеть', 'ребёнок', 'возраст', 'старший', 'младший', 'сказать', 'но', 'большинство', 'идти', 'примерный', 'образ', 'жизнь', 'видео', 'примерный', 'прикрощать', 'димогогия', 'ты', 'устраивать', 'значит', 'дать', 'бог', 'ты', 'здоровье']
5741	['прийти', 'время', 'вводить', 'возраст', 'согласие', 'год', 'уголовный', 'ответственность']
5742	['супер', 'давать', 'огромный', 'оправдание', 'педофил', '👍']
5743	['сначала', 'думать', 'давать', 'оценить', 'ситуация', 'сегодня', 'летний', 'выглядеть', 'летний', 'невозможно', 'отличить', 'это', 'повод', 'манипуляция', 'посадка', 'мужской', 'население', 'основной', 'рабочий', 'класс', 'более', 'такой', 'практика', 'использоваться']
5744	['первый', 'харэ', 'обобщать', 'второй', 'вообще', 'знать', 'такой', 'возраст', 'согласие', 'работать', 'закон']
5745	['смотреть', 'большинство', 'интересовать', 'частный', 'случай', 'видеть', 'вокруг', 'слышать', 'по', 'повод', 'закон', 'известно', 'противный', 'случай', 'это', 'насилие', 'неважный', 'возраст', 'куча', 'ребята', 'который', 'попадать', 'это', 'ломать', 'свой', 'жизнь', 'это', 'перспективный', 'кадр', 'защитник', 'наш', 'страна', 'просто', 'поверить', 'человек']
5746	['не', 'спать', 'весь', 'подряд', 'никто', 'сидеть']
5747	['хорошо', 'ранний', 'телефон', '😆']
5748	['ток', 'семья', 'знать', 'дурачок']
5749	['задержаться', 'работа']
5750	['хороший']
5751	['🤣', '🤣', '🤣', '🤣', '🤣', '🤣']
5752	['год', 'задержаться']
5753	['навеять']
5754	['фу', 'бл', 'дь']
5755	['хахах']
5756	['мир', 'изменить', 'конченый']
5757	['фуу', 'ещё', 'язык', '👅', 'проколоть']
5758	['в', 'прокол', 'язык', 'плохой']
5759	['год', 'наверное', '🙄']
5760	['именно', 'это', 'согласиться']
