	test
174	['ясно', 'у', 'синдром', 'вукраина', 'головной', 'мозг', 'видеть', 'каждый', 'сомневаться', 'украинец', '🥱', 'выздоравливать', '🥱', 'этот', 'методичка', 'устареть', 'очень', 'давно', '🥱']
175	['слехать', 'просто', 'писать', 'хрю', 'не', 'напрягаться', 'текст']
176	['к', 'бандёр']
177	['далёкий', 'бандёр', 'вообш', 'воевать', 'вечно', 'сидеть', 'германия', 'сбежать', 'англия']
178	['ну', 'слава', 'бог', 'живой', '🙏']
179	[]
180	['депутат', 'госдума', 'исключать', 'ввод', 'военный', 'положение', 'россия', 'короткий', 'время']
181	['этот', 'гражданин', 'дума', 'сидеть', 'друг', 'заведение', 'рубашка', 'рукав', 'пол']
182	['ципсо', 'поддержать', 'сторона', 'враг', 'против', 'рф']
183	['некотрый', 'регион', 'оно', 'думать', 'сначала', 'проверять', 'информация', 'который', 'кидать', 'никак', 'верить', 'источник', 'западный', 'иноагент']
184	['источник', 'западный', 'агент', 'непосредственно', 'паблик', 'депутат', 'госдума', 'видео', 'собственно', 'депутат']
185	['депутат', 'рф', 'сказать', 'земля', 'плоский', 'поверить', 'распространять', 'мнение', 'один', 'человек', 'депутат', 'думать', 'угодный', 'это', 'полный', 'право']
186	['гражданин', 'приносить', 'вред', 'россия', 'маленький', 'ципсо', 'а', 'тот', 'распространять', 'бредни', 'военный', 'положение', 'применение', 'ядерный', 'оружие', 'пособник', 'враг', 'как', 'например']
187	['мы', 'военный', 'положение', 'требоваться', 'давно', 'ввести', 'лишь', 'наш', 'новый', 'территория', 'ввести', 'военный', 'положение']
188	['банально', 'звучать', 'ура', 'патриот', 'таки', 'сторона', 'ципсо', 'действовать', 'это', 'нужно']
189	['кабы', 'весь', 'философия', 'диванный', 'эксперт', 'развлекаться', 'детвора', '👇']
190	['коллега', 'цех', 'я', 'подозревать', 'контора', 'вообще', 'медосмотр', 'психиатр', 'отсутствовать']
191	['по', 'этот', 'шарманка', 'навечно', 'накатить']
192	['наш', 'пво', 'хороший', '🤔', 'говорить', '🤷', '\u200d', '♂', '️']
193	['придумать', 'пво', 'снаряд', 'че', 'правда', '🤣', '🤣', '🤣']
194	['пво', 'это', 'единствнный', 'твой', 'аргумент', 'это', 'всесильный', 'оружие']
195	['оно', 'правда', 'хороший', 'отражать', 'удар', 'украина', 'про', 'украинский', 'сказать', 'сам', 'свой', 'дом', 'стрелять']
196	['нехрен', 'восхволять']
197	['всу', 'мирный', 'обстреливать', 'мочь', 'почему', 'поле', 'бой', 'успех', 'нести', 'военный', 'рф', 'умение', 'прокатить']
198	['это', 'обычный', 'тактика', 'террорист', 'угил']
199	['пройти', 'касса', 'ботва', 'хмелить', 'прихватить']
200	['всу', 'обстреливать', 'мирный', 'восемь', 'год', 'сво', 'опыт', '🤷', '\u200d', '♂']
201	['скакун', 'притихнуть']
202	['бедный', 'донецк', 'купол', 'небо']
203	['донецк', 'начало', 'освободить', 'окончательно', 'наш', 'заниматься']
204	['вроде', 'всё', 'писать', 'хохол', 'собрать', 'сила', 'контроль', 'удар', 'наш', 'сильно', 'отодвинуть', 'линия', 'донецк']
205	['в', 'донецк', 'стоять', 'наш', 'система', 'пво', 'всу', 'использовать', 'снаряд', 'который', 'сложно', 'сбить', 'слишком', 'фактор']
206	['пора', 'поддержать', 'юань', 'который', 'очень', 'выгодный', 'надёжный', 'заместо', 'доллар', 'так', 'снова', 'ослабить', 'сша', 'приблизить', 'наш', 'победа', '💥']
207	['🇨🇳', '⚒', '️']
208	['быстрый']
209	[]
210	[]
211	['доллар', 'доллар', '🤷', '\u200d', '♂']
212	['ты', 'доллар', 'мальчик']
213	['накопление', 'девочка']
214	['толк']
215	['год', 'расти', '🤷', '\u200d', '♂', '😂']
216	['держать', 'деньга', 'доллар', 'помогать', 'америкосос']
217	[]
218	['он', 'надуваться', 'скоро', 'лопнуть', 'мыльный', 'пузырь']
219	['и', 'россия', 'купить']
220	['киев', 'день']
221	['как', 'методичка', 'менять', 'частый', '😉', '😆']
222	['вот', 'это', 'россиянин', 'оказываться', 'вкладываться', 'валюта', 'враг', 'рекорд', 'ставить']
223	['завидовать', 'тарас', 'хороший', 'рассказать', 'сколько', 'валюта', 'счёт', 'твой', 'односельчанин']
224	['украина', 'деньга', 'сказка', 'зеленский']
