	comment
93	['хватить', 'сво', 'приписывать', 'сколько', 'мобилизовать', 'аж', 'нехватка', 'просто', 'такой', 'зп', 'никто', 'идти', 'пенсионер', 'это', 'подработка', 'молодой', 'это', 'семья', 'ипотека', 'жена', 'ребёнок']
94	['платить', 'другой', 'место', 'пойти', 'там', 'условие', 'хороший']
95	['замалчивать', 'уже', 'молчать', 'сколько', 'год', 'посмотреть', 'что', 'привести']
96	['правильно', 'надо', 'ещё', 'год', 'назад', 'сво', 'устроить', 'молчать', 'молчать']
97	['ещё', 'кухонный', 'писака', 'революционер']
98	['появиться', 'зп', 'специалист', '🤣🤣🤣']
99	['война', 'смысл']
100	['война', 'начаться', 'долго', 'думать', 'вступить']
101	['интересно', 'рынок', 'труд', 'пропасть', 'молодой', 'мужчина', 'видимо', 'случиться']
102	['опыт', 'опыт', 'нанимать']
103	['всё', 'ваш', 'предположение', 'ошибочно']
104	['просто', 'молодой', 'конкретно', 'забить', 'подобный', 'работа']
105	['зарплата', 'в', 'размер', 'весь', 'корень', 'проблема']
106	['просто', 'так', 'молодой', 'пойти', 'такой', 'работа']
107	['рыночка', 'порешать', 'капитализм', 'знать', 'стартовый', 'должность', 'копейка', 'конкурс', 'человек', 'производство', 'в', 'итог', 'кандидатский', 'человек', 'специальность', 'идти', 'работать', 'а', 'касаться', 'рабочий', 'специальность', 'деньга', 'всё', 'решать', 'и', 'работодатель', 'вместо', 'повышение', 'зарплата', 'который', 'мочь', 'привлечь', 'молодёжь', 'нанимать', 'наиболее', 'социально', 'незащищённый', 'специалист', 'пенсионер', 'опыт', 'который', 'платить', 'низкий', 'з', 'п', 'учитывать', 'демографический', 'яма', 'потенциальный', 'рабочий', 'пенсионер', 'раз', 'молодой', 'человек', 'далёкий', 'плохой']
108	['сво']
109	['какой', 'сельский', 'хозяйство', 'работать', 'тр', 'никто', 'удивить', 'кадр', 'охота', 'настоящий', 'транспортный', 'компания', 'техника', 'работать', 'далеко']
110	['сам', 'дело', 'маленький', 'на', 'завод', 'разный', 'зайти', 'посмотреть']
111	['завод', 'согласиться']
112	['а', 'хороший', 'зарплата', 'готовый', 'наниматься']
113	['зависеть', 'твой', 'умение', 'зарабатывать']
114	['работа', 'работать', 'некого']
115	['оксить', 'работа', 'готовый', 'работать', 'ипотека']
116	['и', 'коммуналка', 'ещё']
117	['маленький', 'мужик', 'мало', 'платить']
118	['вот', 'правильно', 'центр', 'москва', 'наш', 'точка', 'проход', 'давать']
119	[]
120	['видеть', 'интерес', 'свой', 'персона', 'ибо', 'нехватка', 'рабочий', 'рука', 'это', 'миф', 'буржуй', 'нужный', 'безмолвный', 'покорный', 'раб', 'пенсионер', 'подходить', 'роль', 'идеально']
121	['смотреть', 'специальность', 'домой', 'вы', 'никто', 'прийти', 'судебный', 'пристать']
122	['мой', 'хождение', 'собеседование', 'превратиться', 'игра', 'джеймс', 'бонд', 'посетить', 'масса', 'контора', 'везде', 'один', 'сейчас', 'работать', 'выгодный', 'работать']
123	['работать', 'копейка', 'желательно']
124	['год', 'ходить', 'контора', 'высокий', 'требование', 'ленивый', 'просто', 'тупой', '😄']
125	['нежелание', 'взглянуть', 'правда', 'глаз', 'прикрывать', 'эфемерный', 'понятие', 'ленность', 'тупость', 'далёкий', 'такой', 'обвинить', 'русский', 'генетический', 'предрасположенность', 'вышеобозначить', 'порок']
126	['правда', 'если', 'тупой', 'такой', 'время', 'смочь', 'найти', 'достойный', 'работа', 'лишь', 'виноватый', 'сваливать', 'другой']
127	['саша', 'проснуться', 'ой', 'страшно', 'расставаться', 'иллюзия', 'реальность', 'явиться', 'каждый', 'дом']
128	['знать', 'также', 'друг', 'ездить', 'черёмного', 'барнаул', 'наслать', 'работа', 'получать', 'такой', 'ныть', 'причина', 'ты']
129	['это', 'платить', 'секрет']
130	['😀', 'видный', 'разница', 'интеллект']
131	['фактор', 'низкий', 'зп', 'сво']
132	['полгода', 'мобилизация', 'ваш', 'это', 'причина', 'резко', 'забрать', 'тысяча', 'специалист', 'квалифицировать', 'барнаул', 'такой', 'смех', 'писать']
133	['кто', 'забрать', 'место', 'обучать', 'новый', 'это', 'время', 'смотреть', 'специальность', 'кто', 'говорить', 'зп', 'смешной', 'человек', 'стать', 'вахта', 'гонять', 'подработка', 'платить', 'предприятие', 'каторга', 'грош', 'работать', 'ради', 'купить', 'покушать', 'далёкий', 'работать', 'человек', 'умнеть', 'начать', 'надеяться', 'просто', 'идти', 'горбатиться']
134	['забрать', 'это', 'сколько', 'масштаб', 'город', 'на', 'вахта', 'гонять', 'год', 'а', 'зп', 'это', 'первый', 'главное', 'проблема']
135	['надеяться', 'просто', 'человек', 'поумнеть', 'перестать', 'идти', 'копейка', 'надеяться', 'это', 'спровоцировать', 'рост', 'зп', 'быть', 'действительно', 'пенсионер', 'трогать']
