99,"[id717340918|Валерия], не понял, а то что пытаются созвать оон на встречу — какая-то шутка?"
100,"[id196360548|Александр], это называется лучшая защита нападение"
101,"[id38994263|Slavka], где вы видите нападение в желании созвать совет?"
102,"[id196360548|Александр], Его тогда надо созывать с темой ""о расследовании произошедшего"" А не как наши с подзаголовком ""вы всё врёте, нас подставили и вообще мы не нападали""."
103,"[id31154203|Лёха], факт остаётся фактом.
Вы недовольны заявлениями и отчетами МинОбороны, направленными на Российских граждан (последние выделил, так как все понимают, что Европа и Запад это не слушают и не воспринимают)
Вы недовольны заявлениями проваластных сми (также направленных на нас, но тут хотя бы ясно откуда недовольство)
И вы также остаётесь недовольными, когда Россия хочет что-то заявить уже напрямую на политической международной арене.
Что это, если не абсурд?
Я рассуждаю с точки зрения человека, который не верит никому и ТЕМ БОЛЕЕ — не знает правды, как и большая часть из здешних комментаторов, которые бросаются в огонь, цепляя первую же новость."
104,"[id716565173|Юлия], ты заслуживаешь горячего поцелуя!"
105,"[id716565173|Юлия], 👍"
106,"[id716565173|Юлия], Вы дебилка!!!!"
107,"[id714746438|Ilshat], БРАВО!!!"
108,"[id714157693|Олег], фамилия говорящая!"
109,"[id713323252|Анна], верно сказано,грузом 200"
110,"[id709080322|Машка], именно."
111,"[id713323252|Анна], да да ❤🤍русских"
112,"[id709080322|Машка], вам их не жаль?"
113,"[id715257381|Надежда], если такое будет, то катастрофа,  да. Ибо у нас очень мало людей даже базовый инглиш знает. Но вряд ли такое случится"
114,"[id715257381|Надежда], а чё админы удаляют мои коменты? Ссыте пидарюги🤣🤣🤣"
115,"[id156679278|Rustam], ага, ещё и газ сами начнут качать"
116,"[id30693351|Кирилл], что качать то?"
117,"[id30693351|Кирилл], ну вот, как я и предполагал.

Группа «Газпром» прекратила свое участие в немецкой компании Gazprom Germania и всех принадлежащих ей активах, в числе которых Gazprom Marketing & Trading, сообщила пресс-служба газового монополиста. Соответствующее сообщение о существенном факте, оказывающем, по мнению эмитента, влияние на стоимость или котировку его ценных бумаг, опубликовано на сайте «Газпрома»."
118,"[id156679278|Rustam], а есть смысл от компании без газа ?"
119,"[id30693351|Кирилл], да с чего ты взял, что без газа то. Ты понимаешь вообще чем она занимается на немецком рынке?"
120,"[id156679278|Rustam], понял, контролируют рынок. Типа посредники. Правильно понимаю ?"
121,"[id30693351|Кирилл], ну типа того. Может какая та ещё газораспределительная система в Германии принадлежит. Надо смотреть, так глубоко в тему не погружен. Оно мне не особо то и надо. Короче, как газпром продавал через них в Германии газ так и будет продавать, просто доли в этой компании у него теперь нет"
122,"[id716568583|Zuluz], если тебе интересно, за газ по прежнему платят что-то около 275$ и ещё будут так платить много лет) когда в Европе он стоит почти 1200$"
123,"[id134174310|Сергей], с национализацией дочки они погорячились. Но Газпрому уже по фиг. Его доли там нет. И мне не интересен твой коммент. А ты прохвост, раз любишь считать чужие денежки! И про много лет я бы не зарекался. Сейчас утрясут оплату в рублях, а там видно будет!"
124,"[id716568583|Zuluz], не говори гоп, а дальше сам знаешь)"
125,"[id134174310|Сергей], а ты не лезь со своими комментами, а то сам знаешь!"
126,"[id707984361|Serious], что то я не пойму! Кому пиZдишь! Или уши отморозил?"
127,"[id707984361|Serious], обычная,платить то они будут своей валютой но в итоге к нам все будет попадать в рублях.С начала прочитай вообще что к чему,А потом уже вставляй свои 5 копеек"
128,"[id716568583|Zuluz], газ в хранилищах на территории Германии. Держу в курсе."
129,"[id714746438|Ilshat], По-русски научись писать. Обезьяна."
130,ой как неожиданно и неприяятноо
131,Ну экспертизы не за один день делаются.
132,"Есть много видео с нашими пленными, где , кстати, я напоролся на двоих , которые четко описали убийства жителей под Киевом  : один лётчик наш катапультировался из самолёта и на него мужик с вилами шел, лётчик его застрелил и попал в плен. Второй рассказал, как у дороги расстреляли в спину троих выведенных из Авто, у них в телефоне нашли карту перемещениях военных

К чему я клоню, при желании все равно найдётся что приписать"
133,"Бредом пахнет. Казнённые даже не военнопленные, а обычные гражданские. Ну и зачем? Смахивает на усердную попытку очернить российских военных"
134,ну так а каким образом то тогда все эти фейки расползаются по сми??? зачем без фактов что-то печатать в газетах?
135,"…Трудность с пониманием русских состоит в том, что мы не осознаём факта их принадлежности не к Европе, а к Азии, а потому они мыслят иными путями. Мы не способны понимать русских, как не можем понять китайцев или японцев, и, имея богатый опыт общения с ними, должен сказать, что у меня нет особого желания понимать их, если не считать понимания того, какое количество свинца и железа требуется для их истребления. В дополнение к другим азиатским свойствам их характера, русские не уважают человеческую жизнь — они сукины дети, варвары и хронические алкоголики… —Владимир Зеленский"
136,"С тех пор, как Земля вращается вокруг солнца, пока существует холод и жара, буря и солнечный свет, до тех пор будет существовать и борьба. В том числе среди людей и народов. Если бы люди остались жить в раю, они бы сгнили. Человечество стало тем, что оно есть, благодаря борьбе. Война — естественное и обыденное дело. Война идёт всегда и повсюду. У неё нет начала, нет конца. Война — это сама жизнь. Война — это отправная точка.

—Владимир Путин"
137,"Я впервые по-настоящему задумался в 1982-м, когда Америка позволила Израилю вторгнуться в Ливан. Я все еще помню эти сцены: кровь, оторванные конечности, женщин и детей, потерявших своих мужей и отцов, ракеты, падающие на их дома без жалости и разбора. Это было как если бы крокодил повстречал ребенка, у которого есть силы только на то, чтобы кричать. Разве крокодил принимает какие-либо аргументы, кроме оружия?

—Владимир Путин"
138,"ВАШИНГТОН (AP) — Президент Джо Байден в понедельник призвал к судебному разбирательству по делу о военных преступлениях против президента России Владимира Путина и заявил, что будет добиваться введения дополнительных санкций после сообщений о зверствах на Украине.

«Вы видели, что произошло в Буче», — сказал Байден. Он добавил, что Путин «является военным преступником».

Из городов Киевской области, недавно отбитых российскими войсками, вывезены тела 410 мирных жителей, сообщила генеральный прокурор Украины Ирина Венедиктова. Журналисты Associated Press видели тела по меньшей мере 21 человека в разных местах Бучи, к северо-западу от столицы.

«Мы должны продолжать снабжать Украину оружием, которое им необходимо для продолжения борьбы. И мы должны собрать все детали, чтобы это могло стать реальным судебным процессом по военным преступлениям», — сказал Байден.

Байден назвал Путина «жестоким».

«То, что происходит в Буче, возмутительно, и все это видят», — добавил Байден.

Президент Европейской комиссии Урсула фон дер Ляйен, председатель Европейской комиссии, написала в Твиттере в понедельник, что Европейский Союз направит следователей в Украину, чтобы помочь местному генеральному прокурору «задокументировать военные преступления»."
139,"Кто бы сомневался в том, что у США нет независимых данных. Да и зачем они, когда по классике можно сразу обвинить во всем Россию? Хотя уже 31 числа наши войска покинули город."
140,"[id621516624|Виктор], работа Миллера ещё не окончена..."
141,"[id621516624|Виктор], вся гейропа будет облизываться с тем кто сильнее и всегда будет стелиться под кого то"
142,"[id479149690|Ахмед], прямо как твоя мамка."
143,"[id621516624|Виктор], что ты несешь"
144,"[id717341571|Ольга], вообще было бы логично сначала читать пост, а уже потом пасту кидать."
145,"[id717341571|Ольга], сперму со рта смой маня"
146,"Дорогие друзья читатели, на ваших глазах происходит Первая Русско-Украинская ботоводная война. Лахта vs Киев? Чья фабрика ботов победит? Остановите войну, поберегите искусственный интеллект! Он нужен человечеству для другого!"
147,"[id504289202|Daniil], давно бы уже закрыли комменты, читать тошно, что одних, что вторых"
148,"[id504289202|Даниил], они все из одной Лахты"
149,"[id504289202|Даниил], Лахта vs Лахта"
150,"[id717273538|Matilda], бачу в вас є адекватні і не зазомбовані люди, які все розуміють"
151,"[id183555510|Денисъ], мория - росиянская псака.."
152,"[id268927|Денис], авторитаризм, точнее"
153,"[id448805550|Дмитрий], по крайней мере, пока."
154,"[id268927|Денис], у нас ещё до ""Zпецоперации"" на права человека было насрать, а сейчас это приравняют к экстремизму"
155,"[id448805550|Дмитрий], авторитаризм был до 24 февраля, сейчас уже чисто тоталитарная картина"
156,"[id138918107|Дарья], нет, абсолютно. Определение тоталитаризма можно найти в сети. Авторитаризм похож, но всё-таки это разное."
157,"[id268927|Денис],"
158,"[id448805550|Дмитрий], ну да, погорячилась, хотя мы в шаге от этого"
159,"[id268927|Денис], а деспотизм!"
160,"[id717340918|Валерия], не понял, а то что пытаются созвать оон на встречу — какая-то шутка?"
161,"[id196360548|Александр], это называется лучшая защита нападение"
162,"[id38994263|Slavka], где вы видите нападение в желании созвать совет?"
163,"[id196360548|Александр], Его тогда надо созывать с темой ""о расследовании произошедшего"" А не как наши с подзаголовком ""вы всё врёте, нас подставили и вообще мы не нападали""."
164,"[id31154203|Лёха], факт остаётся фактом.
Вы недовольны заявлениями и отчетами МинОбороны, направленными на Российских граждан (последние выделил, так как все понимают, что Европа и Запад это не слушают и не воспринимают)
Вы недовольны заявлениями проваластных сми (также направленных на нас, но тут хотя бы ясно откуда недовольство)
И вы также остаётесь недовольными, когда Россия хочет что-то заявить уже напрямую на политической международной арене.
Что это, если не абсурд?
Я рассуждаю с точки зрения человека, который не верит никому и ТЕМ БОЛЕЕ — не знает правды, как и большая часть из здешних комментаторов, которые бросаются в огонь, цепляя первую же новость."
165,"[id716565173|Юлия], ты заслуживаешь горячего поцелуя!"
166,"[id716565173|Юлия], 👍"
167,"[id716565173|Юлия], Вы дебилка!!!!"
168,"[id714746438|Ilshat], БРАВО!!!"
169,"[id714157693|Олег], фамилия говорящая!"
170,"[id713323252|Анна], верно сказано,грузом 200"
171,"[id709080322|Машка], именно."
172,"[id713323252|Анна], да да ❤🤍русских"
173,"[id709080322|Машка], вам их не жаль?"
174,"[id715257381|Надежда], если такое будет, то катастрофа,  да. Ибо у нас очень мало людей даже базовый инглиш знает. Но вряд ли такое случится"
175,"[id715257381|Надежда], а чё админы удаляют мои коменты? Ссыте пидарюги🤣🤣🤣"
176,"[id156679278|Rustam], ага, ещё и газ сами начнут качать"
177,"[id30693351|Кирилл], что качать то?"
178,"[id30693351|Кирилл], ну вот, как я и предполагал.

Группа «Газпром» прекратила свое участие в немецкой компании Gazprom Germania и всех принадлежащих ей активах, в числе которых Gazprom Marketing & Trading, сообщила пресс-служба газового монополиста. Соответствующее сообщение о существенном факте, оказывающем, по мнению эмитента, влияние на стоимость или котировку его ценных бумаг, опубликовано на сайте «Газпрома»."
179,"[id156679278|Rustam], а есть смысл от компании без газа ?"
180,"[id30693351|Кирилл], да с чего ты взял, что без газа то. Ты понимаешь вообще чем она занимается на немецком рынке?"
181,"[id156679278|Rustam], понял, контролируют рынок. Типа посредники. Правильно понимаю ?"
182,"[id30693351|Кирилл], ну типа того. Может какая та ещё газораспределительная система в Германии принадлежит. Надо смотреть, так глубоко в тему не погружен. Оно мне не особо то и надо. Короче, как газпром продавал через них в Германии газ так и будет продавать, просто доли в этой компании у него теперь нет"
183,"[id716568583|Zuluz], если тебе интересно, за газ по прежнему платят что-то около 275$ и ещё будут так платить много лет) когда в Европе он стоит почти 1200$"
184,"[id134174310|Сергей], с национализацией дочки они погорячились. Но Газпрому уже по фиг. Его доли там нет. И мне не интересен твой коммент. А ты прохвост, раз любишь считать чужие денежки! И про много лет я бы не зарекался. Сейчас утрясут оплату в рублях, а там видно будет!"
